"category"	"name"	"url"	"description"	"star"	"stackOverflow"	"stackOverflowUrl"	"license"	"licenseUrl"	"site"	"userGuide"	"newStars"	"newWatchs"	"newForks"	"pageText"	"newStackOverflow"	"github"	"allText"	"isExist"
"1. Common frameworks and libraries"	"Microserver"	"https://github.com/aol/micro-server"	"— A convenient Microservices plugin system for Spring & Spring Boot, with over 30 plugins and growing, that supports both micro-monolith and pure microservices styles.."	"429"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/aol/micro-server"	"— A convenient Microservices plugin system for Spring & Spring Boot, with over 30 plugins and growing, that supports both micro-monolith and pure microservices styles.."	"true"
"1. Common frameworks and libraries"	"Greenrobot common"	"https://github.com/greenrobot/essentials"	"General purpose utilities and hash functions for Android and Java (aka java-common).."	"419"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/greenrobot/essentials"	"General purpose utilities and hash functions for Android and Java (aka java-common).."	"true"
"1. Common frameworks and libraries"	"Kilim"	"https://github.com/kilim/kilim"	"Lightweight threads for Java, with message passing, nio, http and scheduling support.."	"517"	"null"	"null"	"MIT"	"https://opensource.org/licenses/MIT"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/kilim/kilim"	"Lightweight threads for Java, with message passing, nio, http and scheduling support.."	"true"
"1. Common frameworks and libraries"	"Apache Isis"	"http://isis.apache.org"	"Apache Isis is a framework for rapidly developing domain-driven apps in Java. Write your business logic in entities, domain services and repositories, and the framework dynamically (at runtime) generates a representation of that domain model as a webapp or as a RESTful API. For prototyping or production.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Apache Isis is a framework for rapidly developing domain-driven apps in Java. Write your business logic in entities, domain services and repositories, and the framework dynamically (at runtime) generates a representation of that domain model as a webapp or as a RESTful API. For prototyping or production.."	"true"
"1. Common frameworks and libraries"	"Apache Zest"	"https://zest.apache.org/"	"Apache Zest is a community based effort exploring Composite Oriented Programming for domain centric application development. This includes evolved concepts from Aspect Oriented Programming, Dependency Injection and Domain Driven Design.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Apache Zest is a community based effort exploring Composite Oriented Programming for domain centric application development. This includes evolved concepts from Aspect Oriented Programming, Dependency Injection and Domain Driven Design.."	"true"
"Web Frameworks"	"Play Framework"	"https://github.com/playframework/playframework"	"The Play Framework combines productivity and performance making it easy to build scalable web applications with Java and Scala..."	"6771"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"https://www.playframework.com/"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/playframework/playframework"	"The Play Framework combines productivity and performance making it easy to build scalable web applications with Java and Scala..."	"true"
"Web Frameworks"	"Spark"	"https://github.com/perwendel/spark"	"Spark - a Sinatra inspired web framework.."	"2596"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/perwendel/spark"	"Spark - a Sinatra inspired web framework.."	"true"
"Web Frameworks"	"Blade"	"https://github.com/biezhi/blade"	"a simple, elegant java web framework!.."	"1360"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"http://bladejava.com"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/biezhi/blade"	"a simple, elegant java web framework!.."	"true"
"Web Frameworks"	"Atmosphere"	"https://github.com/Atmosphere/atmosphere"	"Realtime Client Server Framework for the JVM, supporting WebSockets with Cross-Browser Fallbacks. CDDL1 /."	"2235"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/Atmosphere/atmosphere"	"Realtime Client Server Framework for the JVM, supporting WebSockets with Cross-Browser Fallbacks. CDDL1 /."	"true"
"Web Frameworks"	"Grails"	"https://github.com/grails/grails-core"	"Grails is a framework used to build web applications with the Groovy programming language. The core framework is very extensible and there are numerous plugins available that provide easy integration of add-on features.."	"1386"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"https://grails.org/"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/grails/grails-core"	"Grails is a framework used to build web applications with the Groovy programming language. The core framework is very extensible and there are numerous plugins available that provide easy integration of add-on features.."	"true"
"Web Frameworks"	"Ninja"	"https://github.com/ninjaframework/ninja"	"Ninja is a full stack web framework for Java. Rock solid, fast and super productive...."	"894"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"http://www.ninjaframework.org"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/ninjaframework/ninja"	"Ninja is a full stack web framework for Java. Rock solid, fast and super productive...."	"true"
"Web Frameworks"	"Electronicarts Orbit"	"https://github.com/electronicarts/orbit"	"— Orbit - Virtual actor framework for building distributed systems.."	"741"	"null"	"null"	"BSD 3"	"https://en.wikipedia.org/wiki/BSD_licenses#3-clause_license_.28.22Revised_BSD_License.22.2C_.22New_BSD_License.22.2C_or_.22Modified_BSD_License.22.29"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/electronicarts/orbit"	"— Orbit - Virtual actor framework for building distributed systems.."	"true"
"Web Frameworks"	"Ratpack"	"https://github.com/ratpack/ratpack"	"Ratpack is a simple, capable, toolkit for creating high performance web applications. Ratpack is built on Java and the Netty event-driven networking engine. The API is optimized for Groovy and Java 8..."	"662"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"https://ratpack.io/"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/ratpack/ratpack"	"Ratpack is a simple, capable, toolkit for creating high performance web applications. Ratpack is built on Java and the Netty event-driven networking engine. The API is optimized for Groovy and Java 8..."	"true"
"Web Frameworks"	"Vaadin"	"https://github.com/vaadin/vaadin"	"— Vaadin is a Java framework for building modern web applications that look great, perform well and make you and your users happy.."	"398"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"https://vaadin.com/"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/vaadin/vaadin"	"— Vaadin is a Java framework for building modern web applications that look great, perform well and make you and your users happy.."	"true"
"Web Frameworks"	"ZK framework"	"https://github.com/zkoss/zk"	"ZK is a highly productive Java framework for building amazing enterprise web and mobile applications.."	"161"	"null"	"null"	"GNU Lesser"	"https://en.wikipedia.org/wiki/GNU_Lesser_General_Public_License"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/zkoss/zk"	"ZK is a highly productive Java framework for building amazing enterprise web and mobile applications.."	"true"
"Web Frameworks"	"Apache Tapestry"	"http://tapestry.apache.org/"	"A component-oriented framework for creating highly scalable web applications in Java.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"A component-oriented framework for creating highly scalable web applications in Java.."	"true"
"Web Frameworks"	"Apache Wicket"	"http://wicket.apache.org/"	"Open Source Java web framework that powers thousands of web applications and web sites for governments, stores, universities, cities, banks, email providers, and more.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Open Source Java web framework that powers thousands of web applications and web sites for governments, stores, universities, cities, banks, email providers, and more.."	"true"
"Web Frameworks"	"Google Web Toolkit"	"http://www.gwtproject.org/"	"GWT is used by many products at Google, including Google AdWords and Google Wallet. It's open source, completely free, and used by thousands of enthusiastic developers around the world.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"GWT is used by many products at Google, including Google AdWords and Google Wallet. It's open source, completely free, and used by thousands of enthusiastic developers around the world.."	"true"
"Web Frameworks"	"Pippo"	"http://www.pippo.ro/"	"It's an open source micro web framework in Java, with minimal dependencies and a quick learning curve.The goal of this project is to create a micro web framework in Java that should be easy to use and hack. Pippo can be used in small and medium applications and also in applications based on micro services architecture.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"It's an open source micro web framework in Java, with minimal dependencies and a quick learning curve.The goal of this project is to create a micro web framework in Java that should be easy to use and hack. Pippo can be used in small and medium applications and also in applications based on micro services architecture.."	"true"
"Web Frameworks"	"Spring MVC"	"http://projects.spring.io/spring-framework/"	"Spring MVC web application and RESTful web service framework.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Spring MVC web application and RESTful web service framework.."	"true"
"Web Frameworks"	"JavaServer Faces"	"https://javaserverfaces.java.net/"	"JavaServer™ Faces technology simplifies building user interfaces for JavaServer applications. or"	"null"	"null"	"null"	"CDDL 1.0"	"https://opensource.org/licenses/CDDL-1.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"JavaServer™ Faces technology simplifies building user interfaces for JavaServer applications. or"	"true"
"Web Frameworks"	"JavaServer Pages"	"https://jsp.java.net/"	"This project provides a container independent implementation of JSP 2.1. or"	"null"	"null"	"null"	"CDDL 1.0"	"http://opensource.org/licenses/CDDL-1.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"This project provides a container independent implementation of JSP 2.1. or"	"true"
"Web Frameworks"	"Apache Cocoon"	"http://cocoon.apache.org/"	"Web development framework: separation of concerns, component-based.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Web development framework: separation of concerns, component-based.."	"true"
"Web Frameworks"	"Apache Struts"	"http://struts.apache.org"	"Apache Struts is a free open-source framework for creating Java web applications.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Apache Struts is a free open-source framework for creating Java web applications.."	"true"
"Web Frameworks"	"Apache Sling"	"http://sling.apache.org/"	"Innovative Web framework based on JCR and OSGi.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Innovative Web framework based on JCR and OSGi.."	"true"
"Web Frameworks"	"Apache MyFaces"	"http://myfaces.apache.org"	"The first free open source JavaServer(tm) Faces implementation.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"The first free open source JavaServer(tm) Faces implementation.."	"true"
"Web Frameworks"	"Apache Pivot"	"http://pivot.apache.org"	"Apache Pivot is an open-source platform for building installable Internet applications (IIAs) [rich Internet application].."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Apache Pivot is an open-source platform for building installable Internet applications (IIAs) [rich Internet application].."	"true"
"Web Frameworks"	"Apache Turbine"	"http://turbine.apache.org"	"Turbine is a servlet based framework that allows Java developers to quickly build web applications.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Turbine is a servlet based framework that allows Java developers to quickly build web applications.."	"true"
"Web Frameworks"	"Apache OODT"	"http://oodt.apache.org"	"Apache OODT software is component based, and offers a software architecture beyond simple science applications.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Apache OODT software is component based, and offers a software architecture beyond simple science applications.."	"true"
"Web Frameworks"	"VRaptor"	"https://github.com/caelum/vraptor4"	"VRaptor 4 delivers high productivity to your Java Web applications on top of CDI. VRaptor is an opensource MVC framework with a large developers and users community..."	"278"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"http://www.vraptor.org"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/caelum/vraptor4"	"VRaptor 4 delivers high productivity to your Java Web applications on top of CDI. VRaptor is an opensource MVC framework with a large developers and users community..."	"true"
"Libraries for web development"	"Tobie ua-parser"	"https://github.com/tobie/ua-parser"	"A multi-language port of Browserscope's user agent parser. //Perl."	"1497"	"null"	"null"	"MIT"	"https://opensource.org/licenses/MIT"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/tobie/ua-parser"	"A multi-language port of Browserscope's user agent parser. //Perl."	"true"
"Libraries for web development"	"Ghost Driver"	"https://github.com/detro/ghostdriver"	"Ghost Driver is an implementation of the Remote WebDriver Wire protocol, using PhantomJS as back-end.."	"1179"	"null"	"null"	"BSD 2"	"https://en.wikipedia.org/wiki/BSD_licenses#2-clause_license_.28.22Simplified_BSD_License.22_or_.22FreeBSD_License.22.29"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/detro/ghostdriver"	"Ghost Driver is an implementation of the Remote WebDriver Wire protocol, using PhantomJS as back-end.."	"true"
"Libraries for web development"	"B3log Solo"	"https://github.com/b3log/solo"	"A blogging system written in Java, feel free to create your or your team own blog.."	"519"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/b3log/solo"	"A blogging system written in Java, feel free to create your or your team own blog.."	"true"
"Libraries for web development"	"Baasbox"	"https://github.com/baasbox/baasbox"	"BaasBox is an Open Source project that aims to provide a backend for mobile and web apps. ?."	"499"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/baasbox/baasbox"	"BaasBox is an Open Source project that aims to provide a backend for mobile and web apps. ?."	"true"
"Libraries for web development"	"Kolorobot Spring MVC 4 Quickstart Maven Archetype"	"https://github.com/kolorobot/spring-mvc-quickstart-archetype"	"— The project is a Maven archetype for Spring MVC 4 web application. ?."	"480"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/kolorobot/spring-mvc-quickstart-archetype"	"— The project is a Maven archetype for Spring MVC 4 web application. ?."	"true"
"Libraries for web development"	"Gargl"	"https://github.com/jodoglevy/gargl"	"Record web requests as they happen and turn them into reusable code in any programming language. Gargl - Generic API Recorder and Generator Lite. Pronounced ""Gargle."" Automate any website. Record web requests as they happen and turn them into reusable code in any programming language.."	"462"	"null"	"null"	"MIT"	"https://opensource.org/licenses/MIT"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/jodoglevy/gargl"	"Record web requests as they happen and turn them into reusable code in any programming language. Gargl - Generic API Recorder and Generator Lite. Pronounced ""Gargle."" Automate any website. Record web requests as they happen and turn them into reusable code in any programming language.."	"true"
"Libraries for web development"	"Liferay plugins"	"https://github.com/liferay/liferay-plugins"	"The liferay-plugins repository is part of the Liferay Portal project. Liferay Portal is an open source enterprise web platform for building business solutions that deliver immediate results and long-term value.."	"444"	"null"	"null"	"GNU Lesser 2.1"	"https://en.wikipedia.org/wiki/GNU_Lesser_General_Public_License"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/liferay/liferay-plugins"	"The liferay-plugins repository is part of the Liferay Portal project. Liferay Portal is an open source enterprise web platform for building business solutions that deliver immediate results and long-term value.."	"true"
"Libraries for web development"	"Netflix Ribbon"	"https://github.com/Netflix/ribbon"	"Ribbon is a Inter Process Communication (remote procedure calls) library with built in software load balancers. The primary usage model involves REST calls with various serialization scheme support.."	"410"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/Netflix/ribbon"	"Ribbon is a Inter Process Communication (remote procedure calls) library with built in software load balancers. The primary usage model involves REST calls with various serialization scheme support.."	"true"
"Libraries for web development"	"Gwt bootstrap"	"https://github.com/gwtbootstrap/gwt-bootstrap"	"A GWT Library that provides the widgets of Bootstrap, from Twitter.."	"409"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/gwtbootstrap/gwt-bootstrap"	"A GWT Library that provides the widgets of Bootstrap, from Twitter.."	"true"
"Libraries for web development"	"Netflix Zuul"	"https://github.com/Netflix/zuul"	"Zuul is an edge service that provides dynamic routing, monitoring, resiliency, security, and more.."	"407"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/Netflix/zuul"	"Zuul is an edge service that provides dynamic routing, monitoring, resiliency, security, and more.."	"true"
"Libraries for web development"	"PrimeFaces"	"http://primefaces.org/"	"PrimeUI is a pure CSS-JS library designed to work with any server side and client side technology featuring 50+ jQuery Widgets, Web Components, Premium Layouts-Themes and more. PrimeUI is an offspring project of the mighty PrimeFaces.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"PrimeUI is a pure CSS-JS library designed to work with any server side and client side technology featuring 50+ jQuery Widgets, Web Components, Premium Layouts-Themes and more. PrimeUI is an offspring project of the mighty PrimeFaces.."	"true"
"Libraries for web development"	"Spring Boot"	"http://projects.spring.io/spring-boot/"	"Spring Boot makes it easy to create Spring-powered, production-grade applications and services with absolute minimum fuss. It takes an opinionated view of the Spring platform so that new and existing users can quickly get to the bits they need.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Spring Boot makes it easy to create Spring-powered, production-grade applications and services with absolute minimum fuss. It takes an opinionated view of the Spring platform so that new and existing users can quickly get to the bits they need.."	"true"
"Libraries for web development"	"CSSEmbed"	"https://github.com/nzakas/cssembed"	"A tool for embedding data URIs in CSS files.."	"407"	"null"	"null"	"MIT"	"https://opensource.org/licenses/MIT"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/nzakas/cssembed"	"A tool for embedding data URIs in CSS files.."	"true"
"Libraries for web development"	"Athou commafeed"	"https://github.com/Athou/commafeed"	"Google Reader inspired self-hosted RSS reader.."	"1226"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/Athou/commafeed"	"Google Reader inspired self-hosted RSS reader.."	"true"
"Libraries for web development"	"Apache Any23"	"http://any23.apache.org"	"Anything To Triples (Any23) is a library, a web service and a command line tool that extracts structured data in RDF format from a variety of Web.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Anything To Triples (Any23) is a library, a web service and a command line tool that extracts structured data in RDF format from a variety of Web.."	"true"
"Libraries for web development"	"Apache Forrest"	"http://forrest.apache.org/"	"Apache Forrest software is a publishing framework that transforms input from various sources into a unified presentation in one or more output formats.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Apache Forrest software is a publishing framework that transforms input from various sources into a unified presentation in one or more output formats.."	"true"
"Template Engine"	"Apache Velocity"	"http://velocity.apache.org/"	"Velocity is a project of the Apache Software Foundation, charged with the creation and maintenance of open-source software related to the Apache Velocity Engine (templating engine).."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Velocity is a project of the Apache Software Foundation, charged with the creation and maintenance of open-source software related to the Apache Velocity Engine (templating engine).."	"true"
"Template Engine"	"Apache FreeMarker"	"http://freemarker.incubator.apache.org/"	"Apache FreeMarker is a template engine: a Java library to generate text output (HTML web pages, e-mails, configuration files, source code, etc.) based on templates and changing data.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Apache FreeMarker is a template engine: a Java library to generate text output (HTML web pages, e-mails, configuration files, source code, etc.) based on templates and changing data.."	"true"
"Template Engine"	"Handlebars.java"	"http://jknack.github.io/handlebars.java/"	"Logic-less and semantic templates with Java.."	"451"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Logic-less and semantic templates with Java.."	"true"
"Template Engine"	"Thymeleaf"	"http://www.thymeleaf.org/"	"It is a template engine capable of processing and generating HTML, XML, JavaScript, CSS and text, and can work both in web and non-web environments. It is better suited for serving the view layer of web applications, but it can process files in many formats, even in offline environments.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"It is a template engine capable of processing and generating HTML, XML, JavaScript, CSS and text, and can work both in web and non-web environments. It is better suited for serving the view layer of web applications, but it can process files in many formats, even in offline environments.."	"true"
"Template Engine"	"Mustache.java"	"https://github.com/spullara/mustache.java"	"Implementation of mustache.js (web application templating system) for Java.."	"733"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/spullara/mustache.java"	"Implementation of mustache.js (web application templating system) for Java.."	"true"
"Template Engine"	"Apache Tiles"	"http://tiles.apache.org"	"Apache Tiles is a templating framework built to simplify the development of web application user interfaces.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Apache Tiles is a templating framework built to simplify the development of web application user interfaces.."	"true"
